Threshold,Accuracy,Precision,Recall,F1-Score,TP,FN,FP,TN
0.6,0.7050359712230215,0.5945945945945946,0.4583333333333333,0.5176470588235295,22,26,15,76
0.55,0.6906474820143885,0.5609756097560976,0.4791666666666667,0.5168539325842697,23,25,18,73
0.5,0.7194244604316546,0.5957446808510638,0.5833333333333334,0.5894736842105263,28,20,19,72
0.45,0.697841726618705,0.5576923076923077,0.6041666666666666,0.58,29,19,23,68
0.4,0.7194244604316546,0.5789473684210527,0.6875,0.6285714285714286,33,15,24,67
0.35,0.7122302158273381,0.5666666666666667,0.7083333333333334,0.6296296296296297,34,14,26,65
0.3,0.7050359712230215,0.5538461538461539,0.75,0.6371681415929203,36,12,29,62
0.25,0.7122302158273381,0.5606060606060606,0.7708333333333334,0.6491228070175439,37,11,29,62
0.2,0.697841726618705,0.5416666666666666,0.8125,0.65,39,9,33,58
0.15,0.6834532374100719,0.5256410256410257,0.8541666666666666,0.6507936507936508,41,7,37,54
0.1,0.6402877697841727,0.48863636363636365,0.8958333333333334,0.6323529411764706,43,5,45,46
0.07,0.6187050359712231,0.4725274725274725,0.8958333333333334,0.6187050359712231,43,5,48,43
0.05,0.5971223021582733,0.4583333333333333,0.9166666666666666,0.6111111111111112,44,4,52,39
