max_depth,MAE,MSE,RMSE,R2
4,1.4239691196506863,3.1143848515184485,1.764761981548347,0.37124060833329775
6,1.309797225673596,2.6749600916648557,1.6355305230000619,0.45995554173471176
8,1.227545963328806,2.4042701074738435,1.5505708972742405,0.5146048153166931
12,1.1376333582715394,2.152499316132523,1.4671398420506898,0.5654345159318983
16,1.0946877790574987,2.0497213722132397,1.4316848019774604,0.58618423074763
20,1.077388627805788,2.01236281808258,1.4185777448143546,0.5937265040659994
24,1.0716499434076525,2.0039896541207414,1.4156234153618474,0.5954169520131773
28,1.0703985119480066,2.004071291898822,1.415652249635772,0.5954004702608793
32,1.0705238695859611,2.0046953391475246,1.4158726422766719,0.5952744821164552
40,1.0703318496427483,2.0046550849912776,1.4158584268885352,0.5952826089793833
