z relu drelu sigmoid dsigmoid tanh dtanh
-4 0 0 0.0179862 0.0176627 -0.999329 0.00134095
-3.95 0 0 0.018891 0.0185341 -0.999259 0.00148188
-3.9 0 0 0.0198403 0.0194467 -0.999181 0.0016376
-3.85 0 0 0.0208363 0.0204022 -0.999095 0.00180967
-3.8 0 0 0.0218813 0.0214025 -0.999 0.0019998
-3.75 0 0 0.0229774 0.0224494 -0.998894 0.00220989
-3.7 0 0 0.024127 0.0235449 -0.998778 0.00244202
-3.65 0 0 0.0253327 0.024691 -0.99865 0.00269851
-3.6 0 0 0.026597 0.0258896 -0.998508 0.00298189
-3.55 0 0 0.0279226 0.0271429 -0.998351 0.00329498
-3.5 0 0 0.0293122 0.028453 -0.998178 0.00364088
-3.45 0 0 0.0307689 0.0298221 -0.997986 0.00402303
-3.4 0 0 0.0322955 0.0312525 -0.997775 0.00444519
-3.35 0 0 0.0338952 0.0327463 -0.997541 0.00491155
-3.3 0 0 0.0355712 0.0343059 -0.997283 0.0054267
-3.25 0 0 0.0373269 0.0359336 -0.996998 0.00599571
-3.2 0 0 0.0391657 0.0376318 -0.996682 0.0066242
-3.15 0 0 0.0410913 0.0394028 -0.996334 0.00731832
-3.1 0 0 0.0431073 0.041249 -0.995949 0.00808487
-3.05 0 0 0.0452175 0.0431729 -0.995524 0.00893136
-3 0 0 0.0474259 0.0451767 -0.995055 0.00986604
-2.95 0 0 0.0497365 0.0472628 -0.994536 0.010898
-2.9 0 0 0.0521536 0.0494336 -0.993963 0.0120372
-2.85 0 0 0.0546813 0.0516913 -0.99333 0.0132947
-2.8 0 0 0.0573242 0.0540381 -0.992632 0.0146827
-2.75 0 0 0.0600867 0.0564762 -0.99186 0.0162143
-2.7 0 0 0.0629734 0.0590077 -0.991007 0.0179042
-2.65 0 0 0.065989 0.0616345 -0.990066 0.0197685
-2.6 0 0 0.0691384 0.0643583 -0.989027 0.0218248
-2.55 0 0 0.0724265 0.0671809 -0.98788 0.0240923
-2.5 0 0 0.0758582 0.0701037 -0.986614 0.0265922
-2.45 0 0 0.0794385 0.0731281 -0.985217 0.0293476
-2.4 0 0 0.0831727 0.076255 -0.983675 0.0323838
-2.35 0 0 0.0870658 0.0794853 -0.981973 0.0357282
-2.3 0 0 0.091123 0.0828196 -0.980096 0.0394111
-2.25 0 0 0.0953495 0.0862579 -0.978026 0.0434649
-2.2 0 0 0.0997505 0.0898003 -0.975743 0.0479253
-2.15 0 0 0.104331 0.0934462 -0.973226 0.0528308
-2.1 0 0 0.109097 0.0971947 -0.970452 0.058223
-2.05 0 0 0.114052 0.101044 -0.967395 0.0641469
-2 0 0 0.119203 0.104994 -0.964028 0.0706508
-1.95 0 0 0.124553 0.10904 -0.960319 0.0777867
-1.9 0 0 0.130108 0.11318 -0.956237 0.0856099
-1.85 0 0 0.135873 0.117411 -0.951746 0.0941796
-1.8 0 0 0.141851 0.121729 -0.946806 0.103558
-1.75 0 0 0.148047 0.126129 -0.941376 0.113812
-1.7 0 0 0.154465 0.130606 -0.935409 0.12501
-1.65 0 0 0.161109 0.135153 -0.928858 0.137224
-1.6 0 0 0.167982 0.139764 -0.921669 0.150527
-1.55 0 0 0.175086 0.144431 -0.913785 0.164996
-1.5 0 0 0.182426 0.149146 -0.905148 0.180707
-1.45 0 0 0.190002 0.153901 -0.895693 0.197734
-1.4 0 0 0.197816 0.158685 -0.885352 0.216152
-1.35 0 0 0.20587 0.163488 -0.874053 0.236031
-1.3 0 0 0.214165 0.168298 -0.861723 0.257433
-1.25 0 0 0.2227 0.173105 -0.848284 0.280415
-1.2 0 0 0.231475 0.177894 -0.833655 0.30502
-1.15 0 0 0.240489 0.182654 -0.817754 0.331278
-1.1 0 0 0.24974 0.18737 -0.800499 0.359201
-1.05 0 0 0.259225 0.192027 -0.781806 0.388779
-1 0 0 0.268941 0.196612 -0.761594 0.419974
-0.95 0 0 0.278885 0.201108 -0.739783 0.452721
-0.9 0 0 0.28905 0.2055 -0.716298 0.486917
-0.85 0 0 0.299433 0.209773 -0.691069 0.522423
-0.8 0 0 0.310026 0.21391 -0.664037 0.559055
-0.75 0 0 0.320821 0.217895 -0.635149 0.596586
-0.7 0 0 0.331812 0.221713 -0.604368 0.63474
-0.65 0 0 0.34299 0.225348 -0.57167 0.673193
-0.6 0 0 0.354344 0.228784 -0.53705 0.711578
-0.55 0 0 0.365864 0.232008 -0.50052 0.74948
-0.5 0 0 0.377541 0.235004 -0.462117 0.786448
-0.45 0 0 0.389361 0.237759 -0.421899 0.822001
-0.4 0 0 0.401312 0.240261 -0.379949 0.855639
-0.35 0 0 0.413382 0.242497 -0.336376 0.886851
-0.3 0 0 0.425557 0.244458 -0.291313 0.915137
-0.25 0 0 0.437823 0.246134 -0.244919 0.940015
-0.2 0 0 0.450166 0.247517 -0.197375 0.961043
-0.15 0 0 0.46257 0.248599 -0.148885 0.977833
-0.1 0 0 0.475021 0.249376 -0.099668 0.990066
-0.05 0 0 0.487503 0.249844 -0.0499584 0.997504
0 0 0 0.5 0.25 0 1
0.05 0.05 1 0.512497 0.249844 0.0499584 0.997504
0.1 0.1 1 0.524979 0.249376 0.099668 0.990066
0.15 0.15 1 0.53743 0.248599 0.148885 0.977833
0.2 0.2 1 0.549834 0.247517 0.197375 0.961043
0.25 0.25 1 0.562177 0.246134 0.244919 0.940015
0.3 0.3 1 0.574443 0.244458 0.291313 0.915137
0.35 0.35 1 0.586618 0.242497 0.336376 0.886851
0.4 0.4 1 0.598688 0.240261 0.379949 0.855639
0.45 0.45 1 0.610639 0.237759 0.421899 0.822001
0.5 0.5 1 0.622459 0.235004 0.462117 0.786448
0.55 0.55 1 0.634136 0.232008 0.50052 0.74948
0.6 0.6 1 0.645656 0.228784 0.53705 0.711578
0.65 0.65 1 0.65701 0.225348 0.57167 0.673193
0.7 0.7 1 0.668188 0.221713 0.604368 0.63474
0.75 0.75 1 0.679179 0.217895 0.635149 0.596586
0.8 0.8 1 0.689974 0.21391 0.664037 0.559055
0.85 0.85 1 0.700567 0.209773 0.691069 0.522423
0.9 0.9 1 0.71095 0.2055 0.716298 0.486917
0.95 0.95 1 0.721115 0.201108 0.739783 0.452721
1 1 1 0.731059 0.196612 0.761594 0.419974
1.05 1.05 1 0.740775 0.192027 0.781806 0.388779
1.1 1.1 1 0.75026 0.18737 0.800499 0.359201
1.15 1.15 1 0.759511 0.182654 0.817754 0.331278
1.2 1.2 1 0.768525 0.177894 0.833655 0.30502
1.25 1.25 1 0.7773 0.173105 0.848284 0.280415
1.3 1.3 1 0.785835 0.168298 0.861723 0.257433
1.35 1.35 1 0.79413 0.163488 0.874053 0.236031
1.4 1.4 1 0.802184 0.158685 0.885352 0.216152
1.45 1.45 1 0.809998 0.153901 0.895693 0.197734
1.5 1.5 1 0.817574 0.149146 0.905148 0.180707
1.55 1.55 1 0.824914 0.144431 0.913785 0.164996
1.6 1.6 1 0.832018 0.139764 0.921669 0.150527
1.65 1.65 1 0.838891 0.135153 0.928858 0.137224
1.7 1.7 1 0.845535 0.130606 0.935409 0.12501
1.75 1.75 1 0.851953 0.126129 0.941376 0.113812
1.8 1.8 1 0.858149 0.121729 0.946806 0.103558
1.85 1.85 1 0.864127 0.117411 0.951746 0.0941796
1.9 1.9 1 0.869892 0.11318 0.956237 0.0856099
1.95 1.95 1 0.875447 0.10904 0.960319 0.0777867
2 2 1 0.880797 0.104994 0.964028 0.0706508
2.05 2.05 1 0.885948 0.101044 0.967395 0.0641469
2.1 2.1 1 0.890903 0.0971947 0.970452 0.058223
2.15 2.15 1 0.895669 0.0934462 0.973226 0.0528308
2.2 2.2 1 0.90025 0.0898003 0.975743 0.0479253
2.25 2.25 1 0.904651 0.0862579 0.978026 0.0434649
2.3 2.3 1 0.908877 0.0828196 0.980096 0.0394111
2.35 2.35 1 0.912934 0.0794853 0.981973 0.0357282
2.4 2.4 1 0.916827 0.076255 0.983675 0.0323838
2.45 2.45 1 0.920561 0.0731281 0.985217 0.0293476
2.5 2.5 1 0.924142 0.0701037 0.986614 0.0265922
2.55 2.55 1 0.927574 0.0671809 0.98788 0.0240923
2.6 2.6 1 0.930862 0.0643583 0.989027 0.0218248
2.65 2.65 1 0.934011 0.0616345 0.990066 0.0197685
2.7 2.7 1 0.937027 0.0590077 0.991007 0.0179042
2.75 2.75 1 0.939913 0.0564762 0.99186 0.0162143
2.8 2.8 1 0.942676 0.0540381 0.992632 0.0146827
2.85 2.85 1 0.945319 0.0516913 0.99333 0.0132947
2.9 2.9 1 0.947846 0.0494336 0.993963 0.0120372
2.95 2.95 1 0.950263 0.0472628 0.994536 0.010898
3 3 1 0.952574 0.0451767 0.995055 0.00986604
3.05 3.05 1 0.954783 0.0431729 0.995524 0.00893136
3.1 3.1 1 0.956893 0.041249 0.995949 0.00808487
3.15 3.15 1 0.958909 0.0394028 0.996334 0.00731832
3.2 3.2 1 0.960834 0.0376318 0.996682 0.0066242
3.25 3.25 1 0.962673 0.0359336 0.996998 0.00599571
3.3 3.3 1 0.964429 0.0343059 0.997283 0.0054267
3.35 3.35 1 0.966105 0.0327463 0.997541 0.00491155
3.4 3.4 1 0.967705 0.0312525 0.997775 0.00444519
3.45 3.45 1 0.969231 0.0298221 0.997986 0.00402303
3.5 3.5 1 0.970688 0.028453 0.998178 0.00364088
3.55 3.55 1 0.972077 0.0271429 0.998351 0.00329498
3.6 3.6 1 0.973403 0.0258896 0.998508 0.00298189
3.65 3.65 1 0.974667 0.024691 0.99865 0.00269851
3.7 3.7 1 0.975873 0.0235449 0.998778 0.00244202
3.75 3.75 1 0.977023 0.0224494 0.998894 0.00220989
3.8 3.8 1 0.978119 0.0214025 0.999 0.0019998
3.85 3.85 1 0.979164 0.0204022 0.999095 0.00180967
3.9 3.9 1 0.98016 0.0194467 0.999181 0.0016376
3.95 3.95 1 0.981109 0.0185341 0.999259 0.00148188
4 4 1 0.982014 0.0176627 0.999329 0.00134095
