bin r g b
4 0.00259128 0.00218737 0.00344394
12 0.00205404 0.00197336 0.00349038
20 0.002429 0.00244022 0.00408187
28 0.00280199 0.00289518 0.00460693
36 0.00313924 0.00333087 0.0050369
44 0.00348642 0.00371922 0.00534996
52 0.00380207 0.00410112 0.00554821
60 0.00410041 0.00443667 0.00562102
68 0.00435508 0.00475057 0.00561289
76 0.00458829 0.00500622 0.0055232
84 0.00475691 0.00520841 0.00538911
92 0.0048867 0.00538164 0.00520238
100 0.00500724 0.00554288 0.00500577
108 0.00505411 0.00560688 0.0047634
116 0.00506964 0.00561993 0.00450745
124 0.0050388 0.00553689 0.00427884
132 0.00498134 0.00543318 0.00404417
140 0.00486332 0.00522812 0.00378893
148 0.00473759 0.00496714 0.00357905
156 0.00461696 0.00468955 0.0033974
164 0.00439169 0.00435449 0.00317728
172 0.00417747 0.00399499 0.00297158
180 0.00392277 0.00363527 0.00279991
188 0.00370474 0.00330726 0.00265091
196 0.00349912 0.0030081 0.00251661
204 0.00323572 0.00271135 0.00234673
212 0.0029606 0.00241921 0.00214755
220 0.00274297 0.00216737 0.00206361
228 0.00255392 0.00193946 0.00192716
236 0.00236553 0.00175292 0.00185033
244 0.00233079 0.00165365 0.00189917
252 0.00675424 0.00600051 0.00637737
