epoch train_loss val_loss train_acc val_acc
1 4.08444 3.69381 8.61778 13.18
2 3.43029 3.30744 17.5844 19.82
3 2.93688 2.89648 26.2356 26.52
4 2.55065 2.85123 33.66 29.96
5 2.25402 2.90273 39.8067 30.42
6 2.0111 2.29254 45.3533 39.66
7 1.82028 2.18839 49.5711 42.5
8 1.66686 2.40402 53.2689 39.82
9 1.53376 2.02875 56.4378 46.08
10 1.41024 2.2529 59.4511 44.22
11 1.31204 1.86646 62.1711 49.92
12 1.2315 1.92438 64.3311 49.18
13 1.15109 1.86142 66.4111 50.88
14 1.07809 2.60389 68.4044 42.8
15 1.01769 1.84956 69.9911 52.5
16 0.959791 1.65041 71.5867 57.64
17 0.895519 1.59667 73.6578 57.06
18 0.842461 1.57683 74.9578 58.44
19 0.786732 1.57147 76.5467 58.62
20 0.723394 1.43883 78.38 62.3
21 0.660745 1.49786 79.9711 61.08
22 0.59345 1.50749 82.0489 61.48
23 0.529582 1.33252 84.3178 64.68
24 0.452956 1.25831 86.6067 67.1
25 0.377975 1.28118 89.1178 66.3
26 0.31022 1.1918 91.4044 67.84
27 0.243862 1.13552 93.9133 70.38
28 0.196778 1.10382 95.4378 70.76
29 0.169121 1.10298 96.6133 71
30 0.154577 1.10542 97.0778 71.12
