epoch train_loss val_loss train_acc val_acc
1 1.76574 1.42562 35.9844 48.46
2 1.42376 1.21947 49.0889 56.16
3 1.27582 1.05951 55.0911 63.16
4 1.16691 1.06485 58.9289 63.26
5 1.05912 0.933327 62.8867 67.72
6 0.981584 0.857862 65.7733 70.04
7 0.918959 0.811095 67.9844 71.6
8 0.858409 0.872141 70.2444 69.74
9 0.81106 0.751043 71.8178 74.44
10 0.762953 0.750741 73.5844 74.58
11 0.728344 0.648523 74.58 77.46
12 0.688529 0.637487 76.1378 77.88
13 0.663498 0.595127 76.9711 79.4
14 0.629227 0.584219 78.2733 79.92
15 0.609474 0.574165 78.7311 80
16 0.584411 0.609956 79.7667 79
17 0.555959 0.577326 80.5822 80.72
18 0.528926 0.537874 81.6089 81.14
19 0.507286 0.508587 82.5489 82.66
20 0.486018 0.516523 83.24 82.4
21 0.467984 0.502559 83.6778 82.8
22 0.435436 0.491138 84.6667 83.2
23 0.41379 0.446817 85.4578 84.62
24 0.388209 0.447119 86.4289 84.64
25 0.364196 0.446668 87.2733 84.84
26 0.331776 0.432394 88.2689 85.72
27 0.310487 0.411178 89.16 86.56
28 0.288335 0.408284 90.0644 85.96
29 0.271552 0.401452 90.6644 86.3
30 0.266525 0.399673 90.7422 86.52
