epoch train_loss val_loss train_acc val_acc
1 1.71341 1.35636 37.7933 51.36
2 1.35915 1.14101 51.4844 59.3
3 1.1802 1.22018 58.5244 57.92
4 1.06487 1.34317 62.7733 53.62
5 0.997385 0.925415 65.3311 67.6
6 0.914642 0.91923 68.1311 68.4
7 0.859307 0.81004 69.84 72.3
8 nan nan 46.6778 9.56
9 nan nan 9.91556 9.56
10 nan nan 9.88 9.56
11 nan nan 9.86444 9.56
12 nan nan 9.92444 9.56
13 nan nan 9.87333 9.56
14 nan nan 9.9 9.56
15 nan nan 9.91111 9.56
16 nan nan 9.86222 9.56
17 nan nan 9.88 9.56
18 nan nan 9.88 9.56
19 nan nan 9.89111 9.56
20 nan nan 9.86889 9.56
21 nan nan 9.86667 9.56
22 nan nan 9.91778 9.56
23 nan nan 9.94222 9.56
24 nan nan 9.90444 9.56
25 nan nan 9.89778 9.56
26 nan nan 9.91556 9.56
27 nan nan 9.87556 9.56
28 nan nan 9.86 9.56
29 nan nan 9.91778 9.56
30 nan nan 9.86889 9.56
