epoch train_loss val_loss train_acc val_acc
1 1.82066 1.54418 32.6289 43.16
2 1.31073 1.37734 52.0289 52.32
3 1.02979 1.1116 63.1222 60.38
4 0.835087 0.9974 70.2 67.28
5 0.694 0.92965 75.6822 70.18
6 0.596199 1.038 79.2911 66.36
7 0.525019 0.770911 82.0467 73.32
8 0.470309 0.655692 83.9422 78.08
9 0.43037 0.660996 85.2511 77.52
10 0.388295 0.655346 86.5489 79.38
11 0.362865 0.629829 87.5956 79.66
12 0.334827 0.60632 88.4756 80.5
13 0.309686 0.795623 89.3867 75.72
14 0.287607 0.608027 90.0156 81.52
15 0.274364 0.438621 90.5511 85.34
16 0.257605 0.510165 91.2022 83.36
17 0.238898 0.475356 91.8378 85.22
18 0.223533 0.368184 92.3289 87.84
19 0.205453 0.457482 92.8667 85.38
20 0.19294 0.365626 93.3844 88.18
21 0.172317 0.334147 94.0711 89.58
22 0.153904 0.366988 94.7778 88.6
23 0.131736 0.370119 95.5711 88.78
24 0.111338 0.300596 96.2244 90.58
25 0.089044 0.310228 97.1 91
26 0.0656732 0.263241 97.8867 92.28
27 0.047524 0.253406 98.6667 92.62
28 0.0341435 0.247264 99.1333 93.04
29 0.0291662 0.252392 99.3867 93
30 0.0262212 0.248853 99.4844 93.1
