epoch train_loss val_loss train_acc val_acc
1 1.76929 1.40191 33.9978 47.64
2 1.21063 1.09379 56.0222 60.92
3 0.928559 1.22107 66.4978 59.42
4 0.743011 0.920622 73.9578 69.4
5 0.619099 0.984731 78.62 69.04
6 0.542316 0.831079 81.2022 73.38
7 0.484597 0.745547 83.2756 75.4
8 0.444181 0.601734 84.5022 80
9 0.404494 0.589279 86.06 80.34
10 0.377721 0.649363 86.88 80.14
11 0.348942 0.761124 88.0667 77.84
12 0.325539 0.646835 88.7533 80.26
13 0.299595 0.491212 89.5467 84.02
14 0.283779 0.491779 90.1667 83.94
15 0.268031 0.464293 90.6978 85.44
16 0.254864 0.519175 91.2489 83.86
17 0.237871 0.737812 91.8022 79.06
18 0.226668 0.52092 92.2444 84.28
19 0.210052 0.35737 92.8111 88.38
20 0.189177 0.452853 93.4267 86.1
21 0.174477 0.445996 94.0267 86.32
22 0.150623 0.406735 94.8689 87.72
23 0.132966 0.339426 95.4022 89.56
24 0.111561 0.318144 96.2622 89.94
25 0.0881088 0.291996 97.1111 91.56
26 0.0620325 0.276928 98.0978 91.68
27 0.0444855 0.262647 98.76 92.16
28 0.0336726 0.255883 99.1556 92.52
29 0.0265539 0.253161 99.3667 92.68
30 0.0245734 0.251754 99.42 92.7
