x y v
0 19 74.4
1 19 5.2
2 19 0
3 19 0
4 19 0.6
5 19 0.6
6 19 0.4
7 19 0.2
8 19 2.4
9 19 0.4
10 19 0.8
11 19 1.6
12 19 3
13 19 1.6
14 19 1.4
15 19 2.6
16 19 4
17 19 0
18 19 0.6
19 19 0.2
0 18 3.8
1 18 80.6
2 18 0.6
3 18 0.4
4 18 1.4
5 18 0.2
6 18 0.6
7 18 1.2
8 18 0.2
9 18 0
10 18 0.8
11 18 0.4
12 18 1.2
13 18 1.2
14 18 1.4
15 18 3.6
16 18 1.4
17 18 0.2
18 18 0.4
19 18 0.4
0 17 0
1 17 0.8
2 17 91.8
3 17 0.4
4 17 2.8
5 17 0.2
6 17 0
7 17 1.2
8 17 0.2
9 17 0.2
10 17 0.2
11 17 0
12 17 0
13 17 1
14 17 0.2
15 17 0.4
16 17 0.2
17 17 0.4
18 17 0
19 17 0
0 16 0.2
1 16 1.4
2 16 0
3 16 81
4 16 2
5 16 4.8
6 16 2
7 16 0.8
8 16 0.2
9 16 0.4
10 16 0
11 16 0
12 16 0.4
13 16 1.6
14 16 1
15 16 1.4
16 16 0.8
17 16 0
18 16 0.4
19 16 1.6
0 15 0.2
1 15 0.4
2 15 2.6
3 15 1.8
4 15 86.2
5 15 1.6
6 15 0
7 15 0.4
8 15 0.2
9 15 0.4
10 15 0.8
11 15 0.8
12 15 0.2
13 15 2.2
14 15 0.2
15 15 0.8
16 15 0.6
17 15 0.2
18 15 0
19 15 0.4
0 14 0.2
1 14 0.6
2 14 0.2
3 14 4.6
4 14 1
5 14 80.6
6 14 3.8
7 14 0.8
8 14 0
9 14 0.8
10 14 0.4
11 14 0.6
12 14 0
13 14 0.8
14 14 2
15 14 0.8
16 14 0.6
17 14 0.4
18 14 0.6
19 14 1.2
0 13 0.2
1 13 0.4
2 13 0
3 13 2
4 13 0.2
5 13 2.6
6 13 88.8
7 13 0.4
8 13 0.2
9 13 1.2
10 13 0.6
11 13 0.2
12 13 0
13 13 1
14 13 0.2
15 13 0.2
16 13 0.2
17 13 0
18 13 0.6
19 13 1
0 12 0.4
1 12 1.4
2 12 2.4
3 12 0.2
4 12 1.6
5 12 0.2
6 12 0.4
7 12 81.2
8 12 0.4
9 12 0.2
10 12 0.8
11 12 0
12 12 1.2
13 12 5
14 12 0.4
15 12 2.6
16 12 0.6
17 12 0
18 12 0
19 12 1
0 11 6
1 11 0.4
2 11 0
3 11 0.4
4 11 1.2
5 11 0.2
6 11 0.2
7 11 0.4
8 11 77
9 11 0
10 11 0.8
11 11 4.8
12 11 3.2
13 11 0
14 11 0.2
15 11 1.6
16 11 3.4
17 11 0
18 11 0
19 11 0.2
