epoch train_loss val_loss train_acc val_acc
1 0.520235 0.454248 84.1164 85.6539
2 0.40157 0.429839 88.4208 88.1431
3 0.382363 0.420929 88.9884 85.8619
4 0.372945 0.410039 88.8503 87.0129
5 0.370263 0.40749 88.7403 88.7394
6 0.361785 0.397236 88.9647 88.2055
7 0.356948 0.410808 89.1088 87.5953
8 0.355814 0.394561 89.039 87.6092
9 0.351991 0.396159 89.1028 88.6493
10 0.34996 0.395404 89.2499 88.5383
11 0.351104 0.390174 89.3005 88.8088
12 0.347058 0.387427 89.4312 87.2764
13 0.345089 0.390206 89.1667 89.3981
14 0.347527 0.387188 89.3391 87.5953
15 0.344176 0.388238 89.2291 88.3095
16 0.339767 0.396513 89.6184 86.1392
17 0.338097 0.386171 89.5516 89.6616
18 0.336545 0.406934 89.5783 91.2495
19 0.33672 0.384403 89.6065 88.8781
20 0.337465 0.38666 89.6586 87.741
21 0.334883 0.389028 89.5352 87.0614
22 0.335006 0.383233 89.6407 88.6146
23 0.33134 0.389148 89.7462 89.7864
24 0.331843 0.386877 89.6244 88.8088
25 0.32992 0.387369 89.6155 89.9875
26 0.329403 0.387259 89.6912 87.5121
27 0.331782 0.390195 89.7002 89.0029
