x y v
0 6 1
1 6 0.344797
2 6 0.106719
3 6 0.114317
4 6 0.257305
5 6 0.238451
6 6 0.264927
0 5 0.344797
1 5 1
2 5 0.0844227
3 5 0.0925427
4 5 0.148111
5 5 0.0613761
6 5 0.214932
0 4 0.106719
1 4 0.0844227
2 4 1
3 4 0.171615
4 4 0.0814405
5 4 0.0681396
6 4 0.406408
0 3 0.114317
1 3 0.0925427
2 3 0.171615
3 3 1
4 3 0.0848341
5 3 0.0708323
6 3 0.424336
0 2 0.257305
1 2 0.148111
2 2 0.0814405
3 2 0.0848341
4 2 1
5 2 0.119982
6 2 0.19571
0 1 0.238451
1 1 0.0613761
2 1 0.0681396
3 1 0.0708323
4 1 0.119982
5 1 1
6 1 0.170711
0 0 0.264927
1 0 0.214932
2 0 0.406408
3 0 0.424336
4 0 0.19571
5 0 0.170711
6 0 1
