recall precision
0 1
0.00502513 1
0.0100503 1
0.0150754 1
0.0201005 1
0.0251256 1
0.0301508 1
0.0351759 1
0.040201 1
0.0452261 1
0.0502513 1
0.0552764 1
0.0603015 1
0.0653266 1
0.0703518 1
0.0753769 1
0.080402 1
0.0854271 1
0.0904523 1
0.0954774 1
0.100503 1
0.105528 1
0.110553 1
0.115578 1
0.120603 1
0.125628 1
0.130653 1
0.135678 1
0.140704 1
0.145729 1
0.150754 1
0.155779 1
0.160804 1
0.165829 1
0.170854 1
0.175879 1
0.180905 1
0.18593 1
0.190955 1
0.19598 1
0.201005 1
0.20603 1
0.211055 1
0.21608 1
0.221106 1
0.226131 1
0.231156 1
0.236181 1
0.241206 1
0.246231 1
0.251256 1
0.256281 1
0.261307 1
0.266332 1
0.271357 1
0.276382 1
0.281407 1
0.286432 1
0.291457 1
0.296482 1
0.301508 1
0.306533 1
0.311558 1
0.316583 1
0.321608 1
0.326633 1
0.331658 1
0.336683 1
0.341709 1
0.346734 1
0.351759 1
0.356784 1
0.361809 1
0.366834 1
0.371859 1
0.376884 1
0.38191 1
0.386935 1
0.39196 1
0.396985 1
0.40201 1
0.407035 1
0.41206 1
0.417085 1
0.422111 1
0.427136 1
0.432161 1
0.437186 1
0.442211 1
0.447236 1
0.452261 1
0.457286 1
0.462312 1
0.467337 1
0.472362 1
0.477387 1
0.482412 1
0.487437 1
0.492462 1
0.497487 1
0.502513 1
0.507538 1
0.512563 1
0.517588 1
0.522613 1
0.527638 1
0.532663 1
0.537688 1
0.542714 1
0.547739 1
0.552764 1
0.557789 1
0.562814 1
0.567839 1
0.572864 1
0.577889 1
0.582915 1
0.58794 1
0.592965 1
0.59799 1
0.603015 1
0.60804 1
0.613065 1
0.61809 1
0.623116 0.99874
0.628141 0.99875
0.633166 0.99876
0.638191 0.99877
0.643216 0.997561
0.648241 0.99758
0.653266 0.996403
0.658291 0.992885
0.663317 0.990607
0.668342 0.987226
0.673367 0.983918
0.678392 0.978456
0.683417 0.967717
0.688442 0.959461
0.693467 0.952488
0.698492 0.942704
0.703518 0.938147
0.708543 0.923177
0.713568 0.914371
0.718593 0.902275
0.723618 0.899359
0.728643 0.88368
0.733668 0.873622
0.738693 0.858398
0.743719 0.850721
0.748744 0.841789
0.753769 0.836065
0.758794 0.823407
0.763819 0.792104
0.768844 0.779278
0.773869 0.763449
0.778894 0.75414
0.78392 0.746844
0.788945 0.739234
0.79397 0.733998
0.798995 0.721654
0.80402 0.711842
0.809045 0.701931
0.81407 0.690563
0.819095 0.672669
0.824121 0.658352
0.829146 0.643222
0.834171 0.627454
0.839196 0.615442
0.844221 0.604696
0.849246 0.592159
0.854271 0.583385
0.859296 0.572857
0.864322 0.57041
0.869347 0.564531
0.874372 0.558558
0.879397 0.547634
0.884422 0.523984
0.889447 0.510002
0.894472 0.502821
0.899497 0.496779
0.904523 0.4823
0.909548 0.478285
0.914573 0.462681
0.919598 0.458406
0.924623 0.439487
0.929648 0.434346
0.934673 0.417613
0.939698 0.408747
0.944724 0.401676
0.949749 0.387817
0.954774 0.378875
0.959799 0.370086
0.964824 0.343552
0.969849 0.339694
0.974874 0.316738
0.979899 0.303976
0.984925 0.276511
0.98995 0.258501
0.994975 0.23658
1 0.0881986
