epoch train_loss val_loss train_acc val_acc
1 0.488263 0.413095 85.308 86.1323
2 0.366171 0.39277 89.0776 88.4829
3 0.349569 0.384166 89.5872 88.8504
4 0.342727 0.382623 89.7165 88.2818
5 0.338251 0.403095 89.6482 86.4305
6 0.333694 0.382449 89.6719 88.4413
7 0.329628 0.395594 89.6586 88.2333
8 0.328311 0.380028 89.7596 89.4397
9 0.323376 0.384363 89.6764 88.6909
10 0.319994 0.40185 89.874 91.0692
11 0.319728 0.386138 90.0672 88.5175
12 0.316691 0.39722 89.9854 89.2595
13 0.311076 0.387381 90.03 87.9559
