recall precision
0 1
0.00502513 1
0.0100503 1
0.0150754 1
0.0201005 1
0.0251256 1
0.0301508 1
0.0351759 1
0.040201 1
0.0452261 1
0.0502513 1
0.0552764 1
0.0603015 1
0.0653266 1
0.0703518 1
0.0753769 1
0.080402 1
0.0854271 1
0.0904523 1
0.0954774 1
0.100503 1
0.105528 1
0.110553 1
0.115578 1
0.120603 1
0.125628 1
0.130653 1
0.135678 1
0.140704 1
0.145729 1
0.150754 1
0.155779 1
0.160804 1
0.165829 1
0.170854 1
0.175879 1
0.180905 1
0.18593 1
0.190955 1
0.19598 1
0.201005 1
0.20603 1
0.211055 1
0.21608 1
0.221106 1
0.226131 1
0.231156 1
0.236181 1
0.241206 1
0.246231 1
0.251256 1
0.256281 1
0.261307 1
0.266332 1
0.271357 1
0.276382 1
0.281407 1
0.286432 1
0.291457 1
0.296482 1
0.301508 1
0.306533 1
0.311558 1
0.316583 1
0.321608 1
0.326633 1
0.331658 1
0.336683 1
0.341709 1
0.346734 1
0.351759 1
0.356784 1
0.361809 1
0.366834 1
0.371859 1
0.376884 1
0.38191 1
0.386935 1
0.39196 1
0.396985 1
0.40201 1
0.407035 1
0.41206 1
0.417085 1
0.422111 1
0.427136 1
0.432161 1
0.437186 1
0.442211 1
0.447236 1
0.452261 1
0.457286 1
0.462312 1
0.467337 1
0.472362 1
0.477387 1
0.482412 1
0.487437 1
0.492462 1
0.497487 1
0.502513 1
0.507538 1
0.512563 1
0.517588 1
0.522613 1
0.527638 1
0.532663 1
0.537688 1
0.542714 1
0.547739 1
0.552764 1
0.557789 1
0.562814 1
0.567839 1
0.572864 1
0.577889 1
0.582915 1
0.58794 1
0.592965 1
0.59799 1
0.603015 1
0.60804 1
0.613065 1
0.61809 1
0.623116 1
0.628141 1
0.633166 1
0.638191 1
0.643216 1
0.648241 0.998789
0.653266 0.997599
0.658291 0.997617
0.663317 0.996457
0.668342 0.995317
0.673367 0.991894
0.678392 0.986284
0.683417 0.983038
0.688442 0.980957
0.693467 0.978914
0.698492 0.971569
0.703518 0.961327
0.708543 0.952445
0.713568 0.932214
0.718593 0.901386
0.723618 0.894117
0.728643 0.878654
0.733668 0.870363
0.738693 0.861546
0.743719 0.847672
0.748744 0.841789
0.753769 0.829554
0.758794 0.807561
0.763819 0.79796
0.768844 0.789979
0.773869 0.774258
0.778894 0.76639
0.78392 0.749651
0.788945 0.745273
0.79397 0.739913
0.798995 0.714551
0.80402 0.709866
0.809045 0.700498
0.81407 0.690563
0.819095 0.684153
0.824121 0.679695
0.829146 0.668923
0.834171 0.660661
0.839196 0.649124
0.844221 0.623298
0.849246 0.608161
0.854271 0.598817
0.859296 0.583561
0.864322 0.575787
0.869347 0.558261
0.874372 0.547558
0.879397 0.534038
0.884422 0.517476
0.889447 0.506804
0.894472 0.498416
0.899497 0.48581
0.904523 0.470275
0.909548 0.463344
0.914573 0.455436
0.919598 0.451157
0.924623 0.436389
0.929648 0.432915
0.934673 0.42691
0.939698 0.413126
0.944724 0.405197
0.949749 0.392479
0.954774 0.380298
0.959799 0.363151
0.964824 0.346266
0.969849 0.334808
0.974874 0.32242
0.979899 0.309178
0.984925 0.295559
0.98995 0.273611
0.994975 0.239716
1 0.0881986
