recall precision
0 1
0.00502513 1
0.0100503 1
0.0150754 1
0.0201005 1
0.0251256 1
0.0301508 1
0.0351759 1
0.040201 1
0.0452261 1
0.0502513 1
0.0552764 1
0.0603015 1
0.0653266 1
0.0703518 1
0.0753769 1
0.080402 1
0.0854271 1
0.0904523 1
0.0954774 1
0.100503 1
0.105528 1
0.110553 1
0.115578 1
0.120603 1
0.125628 1
0.130653 1
0.135678 1
0.140704 1
0.145729 1
0.150754 1
0.155779 1
0.160804 1
0.165829 1
0.170854 1
0.175879 1
0.180905 1
0.18593 1
0.190955 1
0.19598 1
0.201005 1
0.20603 1
0.211055 1
0.21608 1
0.221106 1
0.226131 1
0.231156 1
0.236181 1
0.241206 1
0.246231 1
0.251256 1
0.256281 1
0.261307 1
0.266332 1
0.271357 1
0.276382 1
0.281407 1
0.286432 1
0.291457 1
0.296482 1
0.301508 1
0.306533 1
0.311558 1
0.316583 1
0.321608 1
0.326633 1
0.331658 1
0.336683 1
0.341709 1
0.346734 1
0.351759 1
0.356784 1
0.361809 1
0.366834 1
0.371859 1
0.376884 1
0.38191 1
0.386935 1
0.39196 1
0.396985 1
0.40201 1
0.407035 1
0.41206 1
0.417085 1
0.422111 1
0.427136 1
0.432161 1
0.437186 1
0.442211 1
0.447236 1
0.452261 1
0.457286 1
0.462312 1
0.467337 1
0.472362 1
0.477387 1
0.482412 1
0.487437 1
0.492462 1
0.497487 1
0.502513 1
0.507538 1
0.512563 1
0.517588 1
0.522613 1
0.527638 1
0.532663 1
0.537688 1
0.542714 1
0.547739 1
0.552764 1
0.557789 0.998593
0.562814 0.998605
0.567839 0.998617
0.572864 0.99863
0.577889 0.998641
0.582915 0.998653
0.58794 0.998665
0.592965 0.998676
0.59799 0.998687
0.603015 0.998698
0.60804 0.998709
0.613065 0.997442
0.61809 0.997463
0.623116 0.997483
0.628141 0.996259
0.633166 0.992605
0.638191 0.991451
0.643216 0.990317
0.648241 0.990391
0.653266 0.989285
0.658291 0.984712
0.663317 0.98025
0.668342 0.975893
0.673367 0.976069
0.678392 0.976242
0.683417 0.967717
0.688442 0.963684
0.693467 0.957659
0.698492 0.953837
0.703518 0.942098
0.708543 0.922232
0.713568 0.914371
0.718593 0.906751
0.723618 0.905553
0.728643 0.885369
0.733668 0.877731
0.738693 0.870324
0.743719 0.861568
0.748744 0.832955
0.753769 0.823852
0.758794 0.800861
0.763819 0.790815
0.768844 0.786801
0.773869 0.776089
0.778894 0.759924
0.78392 0.753048
0.788945 0.743616
0.79397 0.739913
0.798995 0.733107
0.80402 0.717334
0.809045 0.701453
0.81407 0.679239
0.819095 0.668783
0.824121 0.64938
0.829146 0.633562
0.834171 0.61119
0.839196 0.602927
0.844221 0.584297
0.849246 0.575747
0.854271 0.571722
0.859296 0.563408
0.864322 0.558812
0.869347 0.5549
0.874372 0.53569
0.879397 0.527491
0.884422 0.513695
0.889447 0.507941
0.894472 0.495594
0.899497 0.482939
0.904523 0.472399
0.909548 0.467841
0.914573 0.455436
0.919598 0.440953
0.924623 0.432378
0.929648 0.423458
0.934673 0.41732
0.939698 0.400797
0.944724 0.390833
0.949749 0.377162
0.954774 0.365863
0.959799 0.356992
0.964824 0.350119
0.969849 0.328216
0.974874 0.314488
0.979899 0.304868
0.984925 0.281671
0.98995 0.241497
0.994975 0.221353
1 0.0881986
