x y c
0 14 rgb255=77,162,180
1 14 rgb255=0,113,160
2 14 rgb255=74,142,216
3 14 rgb255=255,255,255
4 14 rgb255=183,118,58
5 14 rgb255=198,81,0
6 14 rgb255=208,172,56
7 14 rgb255=255,255,255
8 14 rgb255=115,102,130
9 14 rgb255=255,201,189
10 14 rgb255=69,143,55
11 14 rgb255=255,255,255
12 14 rgb255=164,221,140
13 14 rgb255=135,206,99
14 14 rgb255=130,255,195
0 13 rgb255=152,164,172
1 13 rgb255=79,117,154
2 13 rgb255=157,151,169
3 13 rgb255=255,255,255
4 13 rgb255=128,120,130
5 13 rgb255=123,151,164
6 13 rgb255=106,133,104
7 13 rgb255=255,255,255
8 13 rgb255=21,0,55
9 13 rgb255=233,216,203
10 13 rgb255=166,171,137
11 13 rgb255=255,255,255
12 13 rgb255=183,233,133
13 13 rgb255=99,117,0
14 13 rgb255=178,193,110
0 12 rgb255=255,177,126
1 12 rgb255=213,133,98
2 12 rgb255=229,151,113
3 12 rgb255=255,255,255
4 12 rgb255=67,123,255
5 12 rgb255=63,154,235
6 12 rgb255=102,101,180
7 12 rgb255=255,255,255
8 12 rgb255=64,110,155
9 12 rgb255=113,48,117
10 12 rgb255=156,162,143
11 12 rgb255=255,255,255
12 12 rgb255=100,166,139
13 12 rgb255=32,44,18
14 12 rgb255=189,208,111
0 11 rgb255=255,255,255
1 11 rgb255=255,255,255
2 11 rgb255=255,255,255
3 11 rgb255=255,255,255
4 11 rgb255=255,255,255
5 11 rgb255=255,255,255
6 11 rgb255=255,255,255
7 11 rgb255=255,255,255
8 11 rgb255=255,255,255
9 11 rgb255=255,255,255
10 11 rgb255=255,255,255
11 11 rgb255=255,255,255
12 11 rgb255=255,255,255
13 11 rgb255=255,255,255
14 11 rgb255=255,255,255
0 10 rgb255=21,24,122
1 10 rgb255=186,43,135
2 10 rgb255=220,171,150
3 10 rgb255=255,255,255
4 10 rgb255=255,203,121
5 10 rgb255=209,133,138
6 10 rgb255=43,76,100
7 10 rgb255=255,255,255
8 10 rgb255=149,94,5
9 10 rgb255=93,116,131
10 10 rgb255=137,255,247
11 10 rgb255=255,255,255
12 10 rgb255=64,0,28
13 10 rgb255=77,57,51
14 10 rgb255=183,209,143
0 9 rgb255=184,0,79
