x y c
0 14 rgb255=14,139,201
1 14 rgb255=62,151,179
2 14 rgb255=109,151,146
3 14 rgb255=255,255,255
4 14 rgb255=149,242,171
5 14 rgb255=84,139,115
6 14 rgb255=96,102,215
7 14 rgb255=255,255,255
8 14 rgb255=84,141,68
9 14 rgb255=139,132,174
10 14 rgb255=128,247,117
11 14 rgb255=255,255,255
12 14 rgb255=0,17,255
13 14 rgb255=80,100,230
14 14 rgb255=186,65,155
0 13 rgb255=168,71,153
1 13 rgb255=168,97,89
2 13 rgb255=50,107,29
3 13 rgb255=255,255,255
4 13 rgb255=82,50,110
5 13 rgb255=68,91,66
6 13 rgb255=111,81,35
7 13 rgb255=255,255,255
8 13 rgb255=0,84,139
9 13 rgb255=149,172,187
10 13 rgb255=73,152,208
11 13 rgb255=255,255,255
12 13 rgb255=119,72,188
13 13 rgb255=100,155,226
14 13 rgb255=44,104,124
0 12 rgb255=144,0,80
1 12 rgb255=255,136,138
2 12 rgb255=132,180,35
3 12 rgb255=255,255,255
4 12 rgb255=74,237,91
5 12 rgb255=141,232,0
6 12 rgb255=255,35,127
7 12 rgb255=255,255,255
8 12 rgb255=16,118,137
9 12 rgb255=78,255,162
10 12 rgb255=44,112,186
11 12 rgb255=255,255,255
12 12 rgb255=194,116,183
13 12 rgb255=197,95,59
14 12 rgb255=198,113,94
0 11 rgb255=255,255,255
1 11 rgb255=255,255,255
2 11 rgb255=255,255,255
3 11 rgb255=255,255,255
4 11 rgb255=255,255,255
5 11 rgb255=255,255,255
6 11 rgb255=255,255,255
7 11 rgb255=255,255,255
8 11 rgb255=255,255,255
9 11 rgb255=255,255,255
10 11 rgb255=255,255,255
11 11 rgb255=255,255,255
12 11 rgb255=255,255,255
13 11 rgb255=255,255,255
14 11 rgb255=255,255,255
0 10 rgb255=148,143,109
1 10 rgb255=133,255,182
2 10 rgb255=211,218,163
3 10 rgb255=255,255,255
4 10 rgb255=169,230,170
5 10 rgb255=197,153,63
6 10 rgb255=255,130,69
7 10 rgb255=255,255,255
8 10 rgb255=98,102,171
9 10 rgb255=215,26,188
10 10 rgb255=255,241,160
11 10 rgb255=255,255,255
12 10 rgb255=173,255,194
13 10 rgb255=120,92,118
14 10 rgb255=150,166,93
0 9 rgb255=133,205,164
1 9 rgb255=138,96,135
2 9 rgb255=157,113,101
3 9 rgb255=255,255,255
4 9 rgb255=0,155,198
5 9 rgb255=188,179,209
6 9 rgb255=212,165,130
7 9 rgb255=255,255,255
8 9 rgb255=141,156,121
9 9 rgb255=154,153,114
10 9 rgb255=122,163,0
11 9 rgb255=255,255,255
12 9 rgb255=87,106,156
13 9 rgb255=48,109,66
14 9 rgb255=119,110,107
0 8 rgb255=141,54,169
1 8 rgb255=202,185,216
2 8 rgb255=32,0,51
3 8 rgb255=255,255,255
4 8 rgb255=119,191,250
5 8 rgb255=104,102,184
6 8 rgb255=199,130,169
7 8 rgb255=255,255,255
8 8 rgb255=128,153,176
9 8 rgb255=146,203,209
10 8 rgb255=25,120,147
11 8 rgb255=255,255,255
12 8 rgb255=133,190,0
