x y c
0 14 rgb255=203,72,147
1 14 rgb255=43,214,247
2 14 rgb255=0,79,142
3 14 rgb255=255,255,255
4 14 rgb255=56,204,227
5 14 rgb255=66,135,233
6 14 rgb255=189,176,97
7 14 rgb255=255,255,255
8 14 rgb255=165,255,117
9 14 rgb255=147,227,19
10 14 rgb255=123,112,85
11 14 rgb255=255,255,255
12 14 rgb255=122,94,0
13 14 rgb255=160,213,200
14 14 rgb255=255,118,189
0 13 rgb255=216,131,133
1 13 rgb255=182,170,138
2 13 rgb255=114,185,121
3 13 rgb255=255,255,255
4 13 rgb255=38,41,47
5 13 rgb255=91,39,0
6 13 rgb255=81,165,113
7 13 rgb255=255,255,255
8 13 rgb255=128,178,54
9 13 rgb255=83,4,61
10 13 rgb255=135,58,143
11 13 rgb255=255,255,255
12 13 rgb255=146,220,108
13 13 rgb255=122,86,114
14 13 rgb255=20,76,120
0 12 rgb255=247,136,108
1 12 rgb255=255,216,142
2 12 rgb255=197,135,191
3 12 rgb255=255,255,255
4 12 rgb255=147,81,169
5 12 rgb255=113,185,196
6 12 rgb255=255,180,202
7 12 rgb255=255,255,255
8 12 rgb255=0,156,96
9 12 rgb255=70,45,136
10 12 rgb255=111,14,208
11 12 rgb255=255,255,255
12 12 rgb255=157,219,125
13 12 rgb255=227,118,203
14 12 rgb255=220,83,208
0 11 rgb255=255,255,255
1 11 rgb255=255,255,255
2 11 rgb255=255,255,255
3 11 rgb255=255,255,255
4 11 rgb255=255,255,255
5 11 rgb255=255,255,255
6 11 rgb255=255,255,255
7 11 rgb255=255,255,255
8 11 rgb255=255,255,255
9 11 rgb255=255,255,255
10 11 rgb255=255,255,255
11 11 rgb255=255,255,255
12 11 rgb255=255,255,255
13 11 rgb255=255,255,255
14 11 rgb255=255,255,255
0 10 rgb255=109,190,76
1 10 rgb255=45,151,78
2 10 rgb255=155,188,44
3 10 rgb255=255,255,255
4 10 rgb255=180,192,255
5 10 rgb255=193,0,205
6 10 rgb255=184,133,230
7 10 rgb255=255,255,255
8 10 rgb255=38,116,177
9 10 rgb255=86,40,0
10 10 rgb255=221,40,64
11 10 rgb255=255,255,255
12 10 rgb255=171,153,77
13 10 rgb255=255,122,94
14 10 rgb255=171,138,177
0 9 rgb255=138,150,127
1 9 rgb255=189,153,140
2 9 rgb255=45,0,151
3 9 rgb255=255,255,255
4 9 rgb255=181,186,175
5 9 rgb255=183,140,140
6 9 rgb255=208,203,143
7 9 rgb255=255,255,255
8 9 rgb255=105,71,137
9 9 rgb255=167,121,157
10 9 rgb255=255,113,15
11 9 rgb255=255,255,255
12 9 rgb255=82,116,169
13 9 rgb255=162,132,12
14 9 rgb255=144,152,38
0 8 rgb255=152,255,107
1 8 rgb255=82,105,161
2 8 rgb255=111,23,63
3 8 rgb255=255,255,255
4 8 rgb255=244,203,230
5 8 rgb255=102,148,125
6 8 rgb255=101,132,128
7 8 rgb255=255,255,255
8 8 rgb255=125,91,75
9 8 rgb255=176,121,213
10 8 rgb255=118,86,106
11 8 rgb255=255,255,255
12 8 rgb255=177,152,11
13 8 rgb255=150,107,160
14 8 rgb255=199,0,98
0 7 rgb255=255,255,255
1 7 rgb255=255,255,255
2 7 rgb255=255,255,255
3 7 rgb255=255,255,255
4 7 rgb255=255,255,255
5 7 rgb255=255,255,255
6 7 rgb255=255,255,255
7 7 rgb255=255,255,255
8 7 rgb255=255,255,255
9 7 rgb255=255,255,255
10 7 rgb255=255,255,255
11 7 rgb255=255,255,255
12 7 rgb255=255,255,255
13 7 rgb255=255,255,255
14 7 rgb255=255,255,255
0 6 rgb255=182,164,160
1 6 rgb255=136,135,173
2 6 rgb255=238,148,131
3 6 rgb255=255,255,255
4 6 rgb255=253,172,221
5 6 rgb255=0,133,81
6 6 rgb255=37,193,123
7 6 rgb255=255,255,255
8 6 rgb255=157,149,105
9 6 rgb255=120,210,144
10 6 rgb255=150,56,89
11 6 rgb255=255,255,255
12 6 rgb255=209,208,255
13 6 rgb255=76,153,188
14 6 rgb255=127,223,176
0 5 rgb255=139,175,136
1 5 rgb255=0,129,154
2 5 rgb255=251,243,205
3 5 rgb255=255,255,255
4 5 rgb255=255,202,220
5 5 rgb255=231,30,122
6 5 rgb255=79,199,198
7 5 rgb255=255,255,255
8 5 rgb255=182,141,115
9 5 rgb255=13,71,205
10 5 rgb255=0,255,39
11 5 rgb255=255,255,255
12 5 rgb255=166,0,91
13 5 rgb255=234,62,177
14 5 rgb255=57,38,157
0 4 rgb255=189,187,200
1 4 rgb255=243,203,198
2 4 rgb255=255,203,181
3 4 rgb255=255,255,255
4 4 rgb255=211,71,172
5 4 rgb255=133,80,128
6 4 rgb255=186,169,161
7 4 rgb255=255,255,255
8 4 rgb255=102,166,123
9 4 rgb255=198,61,159
10 4 rgb255=72,50,68
11 4 rgb255=255,255,255
12 4 rgb255=42,75,158
13 4 rgb255=246,56,47
14 4 rgb255=222,194,211
0 3 rgb255=255,255,255
1 3 rgb255=255,255,255
2 3 rgb255=255,255,255
3 3 rgb255=255,255,255
4 3 rgb255=255,255,255
5 3 rgb255=255,255,255
6 3 rgb255=255,255,255
7 3 rgb255=255,255,255
