x y c
0 14 rgb255=192,227,200
1 14 rgb255=183,95,191
2 14 rgb255=183,177,182
3 14 rgb255=255,255,255
4 14 rgb255=203,0,13
5 14 rgb255=148,131,47
6 14 rgb255=174,206,221
7 14 rgb255=255,255,255
8 14 rgb255=25,138,222
9 14 rgb255=190,152,184
10 14 rgb255=183,188,67
11 14 rgb255=255,255,255
12 14 rgb255=5,208,115
13 14 rgb255=78,201,158
14 14 rgb255=104,147,142
0 13 rgb255=201,117,131
1 13 rgb255=32,27,0
2 13 rgb255=161,255,210
3 13 rgb255=255,255,255
4 13 rgb255=255,87,220
5 13 rgb255=206,211,93
6 13 rgb255=105,203,77
7 13 rgb255=255,255,255
8 13 rgb255=97,51,246
9 13 rgb255=178,0,186
10 13 rgb255=232,158,53
11 13 rgb255=255,255,255
12 13 rgb255=150,163,133
13 13 rgb255=198,98,72
14 13 rgb255=186,16,89
0 12 rgb255=218,198,114
1 12 rgb255=146,194,156
2 12 rgb255=136,185,157
3 12 rgb255=255,255,255
4 12 rgb255=120,197,107
5 12 rgb255=214,153,233
6 12 rgb255=201,220,127
7 12 rgb255=255,255,255
8 12 rgb255=151,149,138
9 12 rgb255=142,162,255
10 12 rgb255=97,186,43
11 12 rgb255=255,255,255
12 12 rgb255=67,98,120
13 12 rgb255=255,0,145
14 12 rgb255=198,58,171
0 11 rgb255=255,255,255
1 11 rgb255=255,255,255
2 11 rgb255=255,255,255
3 11 rgb255=255,255,255
4 11 rgb255=255,255,255
5 11 rgb255=255,255,255
6 11 rgb255=255,255,255
7 11 rgb255=255,255,255
8 11 rgb255=255,255,255
9 11 rgb255=255,255,255
10 11 rgb255=255,255,255
11 11 rgb255=255,255,255
12 11 rgb255=255,255,255
13 11 rgb255=255,255,255
14 11 rgb255=255,255,255
0 10 rgb255=198,80,41
1 10 rgb255=176,78,0
2 10 rgb255=140,98,76
3 10 rgb255=255,255,255
4 10 rgb255=81,166,159
5 10 rgb255=130,41,110
6 10 rgb255=96,79,90
