x y v
0 31 0.636421
1 31 0.542258
2 31 0.639173
3 31 0.659149
4 31 0.510783
5 31 0.565891
6 31 0.545218
7 31 0.556694
8 31 0.578445
9 31 0.613616
10 31 0.627749
11 31 0.649993
12 31 0.658957
13 31 0.594953
14 31 0.58773
15 31 0.59917
16 31 0.611452
17 31 0.586337
18 31 0.583052
19 31 0.534539
20 31 0.508525
21 31 0.614563
22 31 0.623977
23 31 0.567272
24 31 0.554424
25 31 0.594225
26 31 0.610909
27 31 0.605675
28 31 0.600107
29 31 0.62309
30 31 0.640327
31 31 0.728622
0 30 0.686667
1 30 0.442811
2 30 0.482722
3 30 0.438224
4 30 0.357526
5 30 0.505248
6 30 0.546377
7 30 0.445656
8 30 0.399653
9 30 0.45305
10 30 0.491654
11 30 0.47304
12 30 0.441909
13 30 0.359675
14 30 0.475657
15 30 0.485509
16 30 0.444239
17 30 0.430332
18 30 0.433257
19 30 0.390622
20 30 0.463673
21 30 0.546362
22 30 0.461538
23 30 0.420006
24 30 0.473689
25 30 0.529379
26 30 0.491817
27 30 0.410266
28 30 0.429388
29 30 0.493883
30 30 0.476823
31 30 0.386923
0 29 0.634869
1 29 0.421878
2 29 0.375434
3 29 0.377627
4 29 0.395957
5 29 0.563933
6 29 0.434121
7 29 0.295336
8 29 0.415818
9 29 0.513522
10 29 0.467073
11 29 0.489629
12 29 0.38651
13 29 0.392722
14 29 0.551046
15 29 0.505225
16 29 0.42371
17 29 0.44474
18 29 0.426951
19 29 0.348839
20 29 0.448899
21 29 0.492832
22 29 0.437129
23 29 0.534111
24 29 0.601117
25 29 0.541205
26 29 0.295175
27 29 0.266611
28 29 0.436355
29 29 0.457862
30 29 0.41973
31 29 0.374058
0 28 0.577817
1 28 0.492381
2 28 0.420066
3 28 0.431352
4 28 0.435872
5 28 0.426242
6 28 0.373705
7 28 0.524021
8 28 0.656585
9 28 0.572558
10 28 0.483945
11 28 0.48554
12 28 0.387961
13 28 0.432202
14 28 0.531336
15 28 0.410856
16 28 0.360855
17 28 0.464264
18 28 0.454794
19 28 0.422404
20 28 0.488979
21 28 0.385662
22 28 0.472357
23 28 0.569537
24 28 0.376611
25 28 0.190713
26 28 0.12497
27 28 0.511341
28 28 0.572245
29 28 0.275962
30 28 0.337372
31 28 0.417045
0 27 0.717797
1 27 0.600362
2 27 0.493676
3 27 0.494015
4 27 0.458585
5 27 0.44544
6 27 0.490716
7 27 0.567018
8 27 0.558536
9 27 0.492706
10 27 0.504305
11 27 0.456621
12 27 0.431762
13 27 0.459884
14 27 0.454887
15 27 0.324712
16 27 0.402852
17 27 0.55688
18 27 0.470331
19 27 0.463801
20 27 0.440813
21 27 0.50418
22 27 0.476347
23 27 0.246179
24 27 0.0485922
25 27 0
26 27 0.388955
27 27 0.901761
28 27 0.513775
29 27 0.233038
30 27 0.491054
31 27 0.390302
0 26 0.733388
1 26 0.46123
2 26 0.48129
3 26 0.491978
4 26 0.466424
5 26 0.464409
6 26 0.458805
7 26 0.508958
8 26 0.445061
9 26 0.375792
10 26 0.471541
11 26 0.445433
12 26 0.436543
13 26 0.471643
14 26 0.392483
15 26 0.344413
16 26 0.46043
17 26 0.603858
18 26 0.473055
19 26 0.472461
20 26 0.563306
21 26 0.454656
22 26 0.101442
23 26 0.170178
24 26 0.145142
25 26 0.320888
26 26 0.807145
27 26 0.657424
28 26 0.279356
29 26 0.473688
30 26 0.59027
31 26 0.385999
0 25 0.679173
1 25 0.436572
2 25 0.513628
3 25 0.527688
4 25 0.456726
5 25 0.451363
6 25 0.410239
7 25 0.460626
8 25 0.347984
9 25 0.359693
10 25 0.535333
11 25 0.459266
12 25 0.428216
13 25 0.468762
14 25 0.420572
15 25 0.334492
16 25 0.447594
17 25 0.617234
18 25 0.547458
19 25 0.532197
20 25 0.434131
21 25 0.0735919
22 25 0.119066
23 25 0.366684
24 25 0.221321
25 25 0.540147
26 25 0.594656
27 25 0.212274
28 25 0.2426
29 25 0.521803
30 25 0.667244
31 25 0.544913
0 24 0.643727
1 24 0.473339
2 24 0.53594
3 24 0.520128
4 24 0.462888
5 24 0.426954
6 24 0.433452
7 24 0.386086
8 24 0.299547
9 24 0.495001
10 24 0.687489
11 24 0.462539
12 24 0.429182
13 24 0.457751
14 24 0.408164
15 24 0.33103
16 24 0.443053
17 24 0.61427
18 24 0.653798
19 24 0.457443
20 24 0.0981041
21 24 0.0448797
22 24 0.314483
23 24 0.317386
24 24 0.165027
