x y v
0 31 0.796037
1 31 0.725648
2 31 0.744856
3 31 0.703997
4 31 0.695634
5 31 0.775348
6 31 0.79612
7 31 0.802793
8 31 0.806118
9 31 0.813287
10 31 0.82586
11 31 0.826681
12 31 0.757717
13 31 0.764615
14 31 0.787473
15 31 0.801174
16 31 0.818995
17 31 0.813968
18 31 0.779867
19 31 0.732248
20 31 0.718113
21 31 0.73395
22 31 0.745695
23 31 0.764329
24 31 0.781974
25 31 0.796561
26 31 0.804815
27 31 0.809633
28 31 0.81876
29 31 0.822836
30 31 0.817785
31 31 0.637413
0 30 0.778609
1 30 0.577457
2 30 0.590747
3 30 0.517051
4 30 0.431592
5 30 0.485416
6 30 0.425551
7 30 0.4684
8 30 0.565997
9 30 0.590493
10 30 0.582533
11 30 0.568665
12 30 0.511458
13 30 0.495447
14 30 0.529678
15 30 0.520418
16 30 0.555568
17 30 0.561846
18 30 0.552995
19 30 0.553647
20 30 0.559369
21 30 0.56194
22 30 0.506453
23 30 0.48186
24 30 0.496658
25 30 0.479557
26 30 0.476451
27 30 0.52783
28 30 0.55857
29 30 0.559452
30 30 0.545022
31 30 0.420952
0 29 0.670932
1 29 0.526324
2 29 0.55761
3 29 0.627796
4 29 0.555622
5 29 0.554589
6 29 0.515557
7 29 0.460238
8 29 0.501885
9 29 0.544987
10 29 0.557929
11 29 0.53903
12 29 0.547918
13 29 0.528775
14 29 0.551807
15 29 0.502623
16 29 0.518148
17 29 0.549419
18 29 0.526577
19 29 0.538666
20 29 0.533917
21 29 0.520769
22 29 0.504266
23 29 0.43695
24 29 0.336642
25 29 0.24437
26 29 0.300514
27 29 0.421925
28 29 0.494629
29 29 0.527189
30 29 0.533703
31 29 0.419849
0 28 0.702456
1 28 0.622272
2 28 0.55669
3 28 0.612827
4 28 0.627479
5 28 0.661927
6 28 0.664792
7 28 0.666762
8 28 0.679628
9 28 0.645515
10 28 0.562372
11 28 0.539189
12 28 0.521693
13 28 0.542274
14 28 0.494304
15 28 0.457531
16 28 0.530183
17 28 0.57284
18 28 0.545362
19 28 0.504783
20 28 0.541572
21 28 0.517164
22 28 0.425935
23 28 0.338453
24 28 0.240124
25 28 0.183682
26 28 0.23486
27 28 0.303862
28 28 0.365439
29 28 0.502253
30 28 0.549082
31 28 0.434716
0 27 0.708197
1 27 0.669508
2 27 0.63289
3 27 0.614746
4 27 0.596212
5 27 0.59287
6 27 0.619601
7 27 0.655705
8 27 0.622946
9 27 0.612497
10 27 0.590767
11 27 0.572564
12 27 0.534659
13 27 0.558418
14 27 0.512938
15 27 0.422984
16 27 0.560177
17 27 0.633694
18 27 0.584792
19 27 0.526148
20 27 0.501536
21 27 0.360201
22 27 0.33844
23 27 0.313573
24 27 0.328024
25 27 0.554594
26 27 0.594995
27 27 0.451341
28 27 0.287583
29 27 0.393069
30 27 0.574978
31 27 0.456288
0 26 0.739792
1 26 0.573339
2 26 0.572531
3 26 0.574122
4 26 0.56768
5 26 0.533358
6 26 0.495044
7 26 0.454192
8 26 0.453213
9 26 0.523366
10 26 0.569683
11 26 0.562129
12 26 0.557846
13 26 0.561512
14 26 0.565449
15 26 0.463039
16 26 0.5652
17 26 0.667032
18 26 0.575864
19 26 0.52029
20 26 0.377645
21 26 0.281687
22 26 0.263601
23 26 0.246189
24 26 0.433567
25 26 0.701866
26 26 0.777107
27 26 0.612428
28 26 0.308257
29 26 0.440426
30 26 0.681741
31 26 0.441641
0 25 0.75189
1 25 0.582163
2 25 0.615208
3 25 0.585562
4 25 0.550357
5 25 0.543327
6 25 0.517659
7 25 0.450183
8 25 0.415825
9 25 0.512868
10 25 0.552115
11 25 0.532313
12 25 0.549566
13 25 0.540734
14 25 0.534405
15 25 0.524064
16 25 0.554478
17 25 0.662374
18 25 0.54575
19 25 0.410026
20 25 0.281584
21 25 0.219441
22 25 0.242698
23 25 0.343376
