x y v
0 31 0.522527
1 31 0.725049
2 31 0.728777
3 31 0.838468
4 31 0.816751
5 31 0.73964
6 31 0.768995
7 31 0.755404
8 31 0.742975
9 31 0.75849
10 31 0.789536
11 31 0.831379
12 31 0.888405
13 31 0.84472
14 31 0.805633
15 31 0.803806
16 31 0.802885
17 31 0.803484
18 31 0.791736
19 31 0.752863
20 31 0.685412
21 31 0.708586
22 31 0.796209
23 31 0.809683
24 31 0.780976
25 31 0.778506
26 31 0.798838
27 31 0.809453
28 31 0.800766
29 31 0.806995
30 31 0.831362
31 31 0.945121
0 30 0.577482
1 30 0.752441
2 30 0.710676
3 30 0.693542
4 30 0.63941
5 30 0.636066
6 30 0.767564
7 30 0.819833
8 30 0.757923
9 30 0.743837
10 30 0.745942
11 30 0.761536
12 30 0.779187
13 30 0.713794
14 30 0.668695
15 30 0.724472
16 30 0.743864
17 30 0.761664
18 30 0.795406
19 30 0.766316
20 30 0.700429
21 30 0.683516
22 30 0.671495
23 30 0.660543
24 30 0.691399
25 30 0.771932
26 30 0.804182
27 30 0.759409
28 30 0.732019
29 30 0.751282
30 30 0.773508
31 30 0.900382
0 29 0.543394
1 29 0.703672
2 29 0.740109
3 29 0.697323
4 29 0.649262
5 29 0.624429
6 29 0.581789
7 29 0.49419
8 29 0.499532
9 29 0.638282
10 29 0.741116
11 29 0.784491
12 29 0.789508
13 29 0.735316
14 29 0.745756
15 29 0.758651
16 29 0.724122
17 29 0.723198
18 29 0.773304
19 29 0.733222
20 29 0.710455
21 29 0.727886
22 29 0.688626
23 29 0.716415
24 29 0.81633
25 29 0.878646
26 29 0.765221
27 29 0.632553
28 29 0.675875
29 29 0.753076
30 29 0.759689
31 29 0.885153
0 28 0.423838
1 28 0.560441
2 28 0.644522
3 28 0.699018
4 28 0.716424
5 28 0.689299
6 28 0.609766
7 28 0.57652
8 28 0.630343
9 28 0.67514
10 28 0.707301
11 28 0.756902
12 28 0.762347
13 28 0.730581
14 28 0.803721
15 28 0.763958
16 28 0.621208
17 28 0.644407
18 28 0.72922
19 28 0.755395
20 28 0.753564
21 28 0.737985
22 28 0.728116
23 28 0.777416
24 28 0.73047
25 28 0.5573
26 28 0.350243
27 28 0.428988
28 28 0.661877
29 28 0.649683
30 28 0.654908
31 28 0.86891
0 27 0.538327
1 27 0.725125
2 27 0.734051
3 27 0.746881
4 27 0.768859
5 27 0.797527
6 27 0.796188
7 27 0.787874
8 27 0.784277
9 27 0.739761
10 27 0.7309
11 27 0.761979
12 27 0.749433
13 27 0.732805
14 27 0.775182
15 27 0.738782
16 27 0.572004
17 27 0.622828
18 27 0.744504
19 27 0.741637
20 27 0.75619
21 27 0.826462
22 27 0.831917
23 27 0.720939
24 27 0.471941
25 27 0.183943
26 27 0.144874
27 27 0.429915
28 27 0.536266
29 27 0.378152
30 27 0.5116
31 27 0.896684
0 26 0.525293
1 26 0.688716
2 26 0.670774
3 26 0.739621
4 26 0.772433
5 26 0.787229
6 26 0.787112
7 26 0.81682
8 26 0.810081
9 26 0.724496
10 26 0.723638
11 26 0.76897
12 26 0.76398
13 26 0.755944
14 26 0.772557
15 26 0.737676
16 26 0.599718
17 26 0.602174
18 26 0.738264
19 26 0.798883
20 26 0.886447
21 26 0.878501
22 26 0.662163
23 26 0.521916
24 26 0.398093
25 26 0.320985
26 26 0.547939
27 26 0.786919
28 26 0.565333
29 26 0.215045
30 26 0.306937
31 26 0.754725
0 25 0.556638
1 25 0.695258
2 25 0.694379
3 25 0.731902
4 25 0.774177
5 25 0.783011
6 25 0.757564
7 25 0.751016
8 25 0.681667
9 25 0.549864
10 25 0.65183
11 25 0.756407
12 25 0.756648
13 25 0.779751
14 25 0.805125
15 25 0.761181
16 25 0.642996
17 25 0.62234
18 25 0.745708
19 25 0.888361
20 25 0.919174
21 25 0.736842
22 25 0.482427
23 25 0.463498
24 25 0.340795
25 25 0.225736
26 25 0.472995
27 25 0.656521
28 25 0.578145
29 25 0.278528
30 25 0.187104
31 25 0.647151
0 24 0.496874
1 24 0.662082
2 24 0.734201
3 24 0.777613
4 24 0.777542
5 24 0.775484
6 24 0.792045
7 24 0.766673
8 24 0.648604
9 24 0.529857
10 24 0.669221
11 24 0.773005
12 24 0.720846
13 24 0.765074
14 24 0.787798
15 24 0.740358
16 24 0.661155
17 24 0.691068
18 24 0.843906
19 24 0.921993
20 24 0.803513
21 24 0.590605
22 24 0.454471
23 24 0.420331
24 24 0.171784
25 24 0.152164
26 24 0.534674
27 24 0.867563
28 24 0.814689
29 24 0.419186
30 24 0.165708
31 24 0.600873
0 23 0.523109
1 23 0.707119
2 23 0.740323
3 23 0.770179
4 23 0.769382
5 23 0.771997
6 23 0.805444
7 23 0.777845
8 23 0.727633
9 23 0.845254
10 23 1
11 23 0.9884
12 23 0.847181
13 23 0.759709
14 23 0.732377
15 23 0.724504
16 23 0.703977
17 23 0.781108
18 23 0.899381
19 23 0.787152
20 23 0.582957
21 23 0.478989
22 23 0.429103
23 23 0.319144
24 23 0.0735214
25 23 0.222134
26 23 0.587326
27 23 0.694041
28 23 0.584093
29 23 0.22836
30 23 0.116941
31 23 0.594088
0 22 0.5467
1 22 0.749926
2 22 0.775292
3 22 0.756368
4 22 0.748248
5 22 0.770189
6 22 0.809464
7 22 0.81528
8 22 0.858865
9 22 0.888603
10 22 0.738955
11 22 0.488344
12 22 0.400509
13 22 0.498657
14 22 0.692953
15 22 0.871537
16 22 0.884309
17 22 0.868088
18 22 0.792868
19 22 0.591093
20 22 0.455509
21 22 0.399506
22 22 0.377539
23 22 0.272077
24 22 0.0580631
25 22 0.322302
26 22 0.651181
27 22 0.693315
28 22 0.615215
29 22 0.327146
30 22 0.202133
31 22 0.647748
0 21 0.576127
1 21 0.775433
2 21 0.750505
3 21 0.686257
4 21 0.740826
5 21 0.864642
6 21 0.870944
7 21 0.794832
8 21 0.774219
9 21 0.638272
10 21 0.428666
11 21 0.309432
12 21 0.224247
13 21 0.172608
14 21 0.222528
15 21 0.392954
16 21 0.515131
17 21 0.513169
18 21 0.462138
19 21 0.425193
20 21 0.399782
21 21 0.327032
22 21 0.32789
23 21 0.240628
24 21 0.0575764
25 21 0.348533
26 21 0.64235
27 21 0.64585
28 21 0.580973
29 21 0.445359
30 21 0.388888
31 21 0.715503
0 20 0.614796
1 20 0.778701
2 20 0.707173
3 20 0.691961
4 20 0.832766
5 20 0.838385
6 20 0.614159
7 20 0.548044
8 20 0.681918
9 20 0.587384
10 20 0.372356
11 20 0.279152
12 20 0.218166
13 20 0.206825
14 20 0.208019
15 20 0.204072
16 20 0.184733
17 20 0.202837
18 20 0.284105
19 20 0.374659
20 20 0.356851
21 20 0.323248
22 20 0.312021
23 20 0.171852
24 20 0.0351314
25 20 0.352623
26 20 0.627678
27 20 0.662005
28 20 0.705612
29 20 0.743188
30 20 0.7004
31 20 0.841031
0 19 0.614563
1 19 0.699307
2 19 0.610065
3 19 0.690699
4 19 0.761703
5 19 0.59106
6 19 0.413775
7 19 0.578421
8 19 0.768008
9 19 0.561176
10 19 0.310497
11 19 0.22317
12 19 0.219229
13 19 0.235643
14 19 0.24648
15 19 0.25186
16 19 0.244479
17 19 0.255926
18 19 0.283556
19 19 0.316316
20 19 0.28722
21 19 0.320339
22 19 0.329362
23 19 0.0923985
24 19 0.0522794
25 19 0.407278
26 19 0.604163
27 19 0.645204
28 19 0.731151
29 19 0.816717
30 19 0.778797
31 19 0.893822
0 18 0.585938
1 18 0.580397
2 18 0.527657
3 18 0.632935
4 18 0.57577
5 18 0.415012
6 18 0.371616
7 18 0.609821
8 18 0.773381
9 18 0.554414
10 18 0.314321
11 18 0.218087
12 18 0.243964
13 18 0.274297
14 18 0.264283
15 18 0.254282
16 18 0.248039
17 18 0.248572
18 18 0.250351
19 18 0.30143
20 18 0.309415
21 18 0.370952
22 18 0.367565
23 18 0.0948757
24 18 0.159389
25 18 0.535205
26 18 0.646656
27 18 0.686303
