x y v
0 31 0.825185
1 31 0.631862
2 31 0.72447
3 31 0.868943
4 31 0.698581
5 31 0.821517
6 31 0.828487
7 31 0.783876
8 31 0.761782
9 31 0.77894
10 31 0.805545
11 31 0.871148
12 31 0.841885
13 31 0.798061
14 31 0.832408
15 31 0.81448
16 31 0.841567
17 31 0.824244
18 31 0.809764
19 31 0.733426
20 31 0.618624
21 31 0.713257
22 31 0.813835
23 31 0.822978
24 31 0.789267
25 31 0.79927
26 31 0.822045
27 31 0.825162
28 31 0.813615
29 31 0.821817
30 31 0.846303
31 31 0.994423
0 30 0.858794
1 30 0.696486
2 30 0.586218
3 30 0.638888
4 30 0.416477
5 30 0.491727
6 30 0.61768
7 30 0.66621
8 30 0.706967
9 30 0.686743
10 30 0.641737
11 30 0.661038
12 30 0.681773
13 30 0.493836
14 30 0.57182
15 30 0.598538
16 30 0.626569
17 30 0.655792
18 30 0.682659
19 30 0.648858
20 30 0.586812
21 30 0.610771
22 30 0.571505
23 30 0.539558
24 30 0.582873
25 30 0.631464
26 30 0.650223
27 30 0.659652
28 30 0.645885
29 30 0.652053
30 30 0.652608
31 30 0.855506
0 29 0.632905
1 29 0.688588
2 29 0.637452
3 29 0.700779
4 29 0.528536
5 29 0.547697
6 29 0.533403
7 29 0.352168
8 29 0.396956
9 29 0.606973
10 29 0.635812
11 29 0.660937
12 29 0.691261
13 29 0.57925
14 29 0.622279
15 29 0.611413
16 29 0.576349
17 29 0.64368
18 29 0.671182
19 29 0.598361
20 29 0.603755
21 29 0.614498
22 29 0.567539
23 29 0.559115
24 29 0.570448
25 29 0.623329
26 29 0.549834
27 29 0.527678
28 29 0.623127
29 29 0.665488
30 29 0.648349
31 29 0.840973
0 28 0.543361
1 28 0.577426
2 28 0.540822
3 28 0.640856
4 28 0.681539
5 28 0.667217
6 28 0.556521
7 28 0.546516
8 28 0.597213
9 28 0.638947
10 28 0.608221
11 28 0.659254
12 28 0.595637
13 28 0.620952
14 28 0.67823
15 28 0.553108
16 28 0.515776
17 28 0.604402
18 28 0.654919
19 28 0.564898
20 28 0.684593
21 28 0.626839
22 28 0.525741
23 28 0.612291
24 28 0.526941
25 28 0.364119
26 28 0.11343
27 28 0.305155
28 28 0.562083
29 28 0.622294
30 28 0.64078
31 28 0.846003
0 27 0.673225
1 27 0.706434
2 27 0.686933
3 27 0.660257
4 27 0.661353
5 27 0.692459
6 27 0.683304
7 27 0.72715
8 27 0.702615
9 27 0.64371
10 27 0.659774
11 27 0.670734
12 27 0.604077
13 27 0.60259
14 27 0.72865
15 27 0.473031
16 27 0.441928
17 27 0.689476
18 27 0.671378
19 27 0.620413
20 27 0.591178
21 27 0.580545
22 27 0.660823
23 27 0.587337
24 27 0.372204
25 27 0.318274
26 27 0.179836
27 27 0.400046
28 27 0.286621
29 27 0.218928
30 27 0.692788
31 27 0.937617
0 26 0.783047
1 26 0.548482
2 26 0.588076
3 26 0.659678
4 26 0.645542
5 26 0.649326
6 26 0.603386
7 26 0.625166
8 26 0.635081
9 26 0.596738
10 26 0.673083
11 26 0.662964
12 26 0.647679
13 26 0.628723
14 26 0.716272
15 26 0.565272
16 26 0.395724
17 26 0.689265
18 26 0.685087
19 26 0.648354
20 26 0.64559
21 26 0.654586
22 26 0.424596
23 26 0.398672
24 26 0.322181
25 26 0.390756
26 26 0.814593
27 26 0.891553
28 26 0.211097
29 26 0.0384417
30 26 0.565043
31 26 0.895587
0 25 0.793863
1 25 0.627346
2 25 0.595824
3 25 0.654621
4 25 0.632506
5 25 0.670906
6 25 0.613147
7 25 0.613713
8 25 0.456525
9 25 0.435741
10 25 0.638279
11 25 0.625404
12 25 0.645649
13 25 0.654106
14 25 0.679158
15 25 0.665066
16 25 0.471734
17 25 0.619686
18 25 0.684329
19 25 0.676799
20 25 0.695065
21 25 0.448029
22 25 0.255997
23 25 0.46315
24 25 0.205664
25 25 0.39034
26 25 0.745027
27 25 0.700265
28 25 0.320006
29 25 0.0589596
30 25 0.414759
31 25 0.927603
0 24 0.659053
1 24 0.59389
2 24 0.65434
3 24 0.676968
4 24 0.639602
5 24 0.656116
6 24 0.630896
7 24 0.709823
8 24 0.510129
9 24 0.425162
10 24 0.700269
11 24 0.568426
12 24 0.618816
13 24 0.675757
14 24 0.641897
15 24 0.597363
16 24 0.55688
17 24 0.614462
18 24 0.674098
19 24 0.68495
