x y c
0 31 rgb255=35,36,31
1 31 rgb255=63,64,55
2 31 rgb255=39,41,29
3 31 rgb255=22,26,11
4 31 rgb255=54,54,40
5 31 rgb255=29,26,19
6 31 rgb255=29,26,18
7 31 rgb255=35,32,23
8 31 rgb255=36,33,24
9 31 rgb255=28,25,18
10 31 rgb255=18,15,11
11 31 rgb255=7,4,0
12 31 rgb255=16,13,9
13 31 rgb255=25,22,18
14 31 rgb255=22,19,14
15 31 rgb255=19,20,17
16 31 rgb255=11,14,12
17 31 rgb255=19,19,15
18 31 rgb255=31,28,21
19 31 rgb255=57,49,40
20 31 rgb255=75,66,56
21 31 rgb255=52,38,31
22 31 rgb255=34,19,13
23 31 rgb255=34,19,16
24 31 rgb255=37,22,22
25 31 rgb255=32,16,17
26 31 rgb255=25,15,10
27 31 rgb255=24,17,7
28 31 rgb255=24,17,9
29 31 rgb255=19,11,8
30 31 rgb255=13,5,5
31 31 rgb255=18,8,9
0 30 rgb255=13,14,9
1 30 rgb255=24,26,16
2 30 rgb255=49,51,39
3 30 rgb255=46,48,33
4 30 rgb255=80,81,67
5 30 rgb255=65,62,53
6 30 rgb255=30,27,19
7 30 rgb255=23,20,11
8 30 rgb255=18,15,6
9 30 rgb255=17,14,6
10 30 rgb255=15,12,7
11 30 rgb255=10,7,2
12 30 rgb255=14,11,7
13 30 rgb255=51,48,44
14 30 rgb255=34,32,27
15 30 rgb255=24,24,20
16 30 rgb255=16,18,14
17 30 rgb255=11,11,6
18 30 rgb255=15,13,7
19 30 rgb255=35,30,21
20 30 rgb255=54,46,36
21 30 rgb255=55,44,36
22 30 rgb255=57,45,39
23 30 rgb255=54,42,39
24 30 rgb255=40,27,27
25 30 rgb255=29,16,17
26 30 rgb255=22,14,10
27 30 rgb255=19,15,8
28 30 rgb255=19,13,8
29 30 rgb255=13,7,4
30 30 rgb255=12,6,5
31 30 rgb255=17,10,10
0 29 rgb255=55,57,48
1 29 rgb255=16,18,8
2 29 rgb255=30,32,21
3 29 rgb255=36,39,25
4 29 rgb255=67,67,55
5 29 rgb255=71,68,60
6 29 rgb255=79,76,68
7 29 rgb255=99,96,87
8 29 rgb255=69,66,58
9 29 rgb255=21,18,11
10 29 rgb255=14,11,5
11 29 rgb255=8,5,1
12 29 rgb255=12,9,4
13 29 rgb255=34,31,26
14 29 rgb255=33,30,25
15 29 rgb255=31,29,24
16 29 rgb255=32,32,27
17 29 rgb255=16,15,10
18 29 rgb255=16,13,8
19 29 rgb255=35,32,24
20 29 rgb255=41,36,28
21 29 rgb255=49,41,34
22 29 rgb255=61,53,47
23 29 rgb255=60,51,48
24 29 rgb255=54,44,45
25 29 rgb255=49,39,42
26 29 rgb255=65,59,57
27 29 rgb255=58,54,49
28 29 rgb255=25,21,17
29 29 rgb255=12,8,5
30 29 rgb255=15,11,8
31 29 rgb255=19,15,13
0 28 rgb255=81,83,72
1 28 rgb255=47,49,39
